unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
58971480,2023-09-30T11:19:34.000,2023-10-03T11:17:17.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11102,32-11 ASTORIA BOULEVARD NORTH,ASTORIA BOULEVARD NORTH,ADDRESS,ASTORIA,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-03T00:00:00.000,01 QUEENS,4008370156,QUEENS,1007410,219968,PHONE,Unspecified,QUEENS,40.770407372838335,-73.91638625434123,"{'latitude': '40.770407372838335', 'longitude': '-73.91638625434123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58976279,2023-09-30T11:19:34.000,2023-10-02T09:21:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10030,112 WEST  134 STREET,WEST  134 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,10 MANHATTAN,1019180043,MANHATTAN,1000291,235744,PHONE,Unspecified,MANHATTAN,40.81372401337601,-73.94205004531729,"{'latitude': '40.81372401337601', 'longitude': '-73.94205004531729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58968878,2023-09-30T11:19:22.000,2023-09-30T12:03:55.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10128,350 EAST   91 STREET,EAST   91 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T12:03:58.000,08 MANHATTAN,1015530032,MANHATTAN,998589,223656,ONLINE,Unspecified,MANHATTAN,40.78054867177627,-73.94822452555469,"{'latitude': '40.78054867177627', 'longitude': '-73.94822452555469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   91 STREET,,,,,
59455778,2023-09-30T11:19:04.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,11102,32-07 ASTORIA BOULEVARD NORTH,ASTORIA BOULEVARD NORTH,ADDRESS,ASTORIA,Closed,,2023-10-03T00:00:00.000,01 QUEENS,4008370156,QUEENS,1007405,219970,PHONE,Unspecified,QUEENS,40.77041287541297,-73.91640429876635,"{'latitude': '40.77041287541297', 'longitude': '-73.91640429876635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,32 STREET,33 STREET,32 STREET,33 STREET,ASTORIA BOULEVARD NORTH,,,,,
58974183,2023-09-30T11:19:00.000,2023-10-03T11:50:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10314,112 MULBERRY AVENUE,MULBERRY AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the E-waste.,2023-10-03T11:50:00.000,02 STATEN ISLAND,5021180138,STATEN ISLAND,937675,155969,PHONE,Unspecified,STATEN ISLAND,40.59465272151064,-74.1677056009386,"{'latitude': '40.59465272151064', 'longitude': '-74.1677056009386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SLEEPY HOLLOW ROAD,TRAVIS AVENUE,,,,,,,,
58970937,2023-09-30T11:18:58.000,2023-09-30T12:20:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,776 EAST   34 STREET,EAST   34 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T12:20:34.000,17 BROOKLYN,3049970038,BROOKLYN,999724,171481,MOBILE,Unspecified,BROOKLYN,40.6373388066698,-73.9442461608113,"{'latitude': '40.6373388066698', 'longitude': '-73.9442461608113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BROOKLYN ROAD,FARRAGUT ROAD,BROOKLYN ROAD,FARRAGUT ROAD,EAST   34 STREET,,,,,
59456214,2023-09-30T11:18:53.000,2023-10-15T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Apartment,10468,2477 AQUEDUCT AVENUE,AQUEDUCT AVENUE,ADDRESS,BRONX,Closed,,2023-10-15T00:00:00.000,07 BRONX,2032130068,BRONX,1011101,254203,PHONE,Unspecified,BRONX,40.864362327539915,-73.9029238030999,"{'latitude': '40.864362327539915', 'longitude': '-73.9029238030999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WEST  188 STREET,WEST  190 STREET,WEST  188 STREET,WEST  190 STREET,AQUEDUCT AVENUE,,,,,
58970635,2023-09-30T11:18:53.000,2023-10-04T10:51:41.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11221,141 PATCHEN AVENUE,PATCHEN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T12:09:16.000,03 BROOKLYN,3016530010,BROOKLYN,1004555,189429,ONLINE,Unspecified,BROOKLYN,40.686592326406966,-73.92678570763677,"{'latitude': '40.686592326406966', 'longitude': '-73.92678570763677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PUTNAM AVENUE,JEFFERSON AVENUE,PUTNAM AVENUE,JEFFERSON AVENUE,PATCHEN AVENUE,,,,,
59434828,2023-09-30T11:18:48.000,2023-10-15T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,10468,2477 AQUEDUCT AVENUE,AQUEDUCT AVENUE,ADDRESS,BRONX,Closed,,2023-10-15T00:00:00.000,07 BRONX,2032130068,BRONX,1011101,254203,PHONE,Unspecified,BRONX,40.864362327539915,-73.9029238030999,"{'latitude': '40.864362327539915', 'longitude': '-73.9029238030999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WEST  188 STREET,WEST  190 STREET,WEST  188 STREET,WEST  190 STREET,AQUEDUCT AVENUE,,,,,
58977968,2023-09-30T11:18:38.000,2023-10-06T06:16:30.000,DSNY,Department of Sanitation,Transfer Station Complaint,Odor,Street,11433,170-06 DOUGLAS AVENUE,DOUGLAS AVENUE,ADDRESS,JAMAICA,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-10-06T06:16:35.000,12 QUEENS,,QUEENS,1043094,195975,PHONE,Unspecified,QUEENS,40.70438720921949,-73.78776776382453,"{'latitude': '40.70438720921949', 'longitude': '-73.78776776382453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,170 STREET,175 STREET,170 STREET,175 STREET,DOUGLAS AVENUE,,,,,
59450449,2023-09-30T11:18:36.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10030,112 WEST  134 STREET,WEST  134 STREET,ADDRESS,NEW YORK,Closed,,2023-10-02T00:00:00.000,10 MANHATTAN,1019180043,MANHATTAN,1000291,235744,PHONE,Unspecified,MANHATTAN,40.81372401337601,-73.94205004531729,"{'latitude': '40.81372401337601', 'longitude': '-73.94205004531729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,WEST  134 STREET,,,,,
58973068,2023-09-30T11:18:25.000,2023-10-06T12:32:47.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10314,72 MILDRED AVENUE,MILDRED AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-03T11:41:08.000,02 STATEN ISLAND,5026310001,STATEN ISLAND,932168,154641,ONLINE,Unspecified,STATEN ISLAND,40.59097698661947,-74.18752471628186,"{'latitude': '40.59097698661947', 'longitude': '-74.18752471628186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SHELLEY AVENUE,PEARSON STREET,SHELLEY AVENUE,PEARSON STREET,MILDRED AVENUE,,,,,
58972198,2023-09-30T11:18:15.000,2023-09-30T11:47:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11691,522 BEACH   28 STREET,BEACH   28 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T11:47:55.000,14 QUEENS,4157890010,QUEENS,1050423,157418,PHONE,Unspecified,QUEENS,40.5985052659554,-73.76171272237997,"{'latitude': '40.5985052659554', 'longitude': '-73.76171272237997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,COLLIER AVENUE,BROOKHAVEN AVENUE,COLLIER AVENUE,BROOKHAVEN AVENUE,BEACH   28 STREET,,,,,
58974491,2023-09-30T11:17:54.000,2023-09-30T11:54:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10011,363 WEST   23 STREET,WEST   23 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T11:54:50.000,04 MANHATTAN,1007470001,MANHATTAN,984204,211069,PHONE,Unspecified,MANHATTAN,40.74601223108109,-74.00016601136937,"{'latitude': '40.74601223108109', 'longitude': '-74.00016601136937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   23 STREET,,,,,
58972215,2023-09-30T11:17:46.000,2023-09-30T12:03:08.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,1334 79 STREET,79 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T12:03:12.000,10 BROOKLYN,3062680020,BROOKLYN,981767,164247,PHONE,Unspecified,BROOKLYN,40.61749616676781,-74.0089437521818,"{'latitude': '40.61749616676781', 'longitude': '-74.0089437521818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,79 STREET,,,,,
58969221,2023-09-30T11:17:35.000,2023-10-12T15:49:16.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10301,179 FOREST AVENUE,FOREST AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-12T15:49:13.000,01 STATEN ISLAND,5001270034,STATEN ISLAND,957867,169390,MOBILE,Unspecified,STATEN ISLAND,40.63157368326157,-74.09505148369054,"{'latitude': '40.63157368326157', 'longitude': '-74.09505148369054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,HAVEN ESPLANADE,HAVENWOOD ROAD,HAVEN ESPLANADE,HAVENWOOD ROAD,FOREST AVENUE,,,,,
58969427,2023-09-30T11:17:18.000,2023-10-04T10:51:05.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11221,141 PATCHEN AVENUE,PATCHEN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T12:12:26.000,03 BROOKLYN,3016530010,BROOKLYN,1004555,189429,ONLINE,Unspecified,BROOKLYN,40.686592326406966,-73.92678570763677,"{'latitude': '40.686592326406966', 'longitude': '-73.92678570763677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PUTNAM AVENUE,JEFFERSON AVENUE,PUTNAM AVENUE,JEFFERSON AVENUE,PATCHEN AVENUE,,,,,
58974958,2023-09-30T11:17:14.000,2023-09-30T12:22:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10460,932 EAST  173 STREET,EAST  173 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T12:22:20.000,03 BRONX,2029820027,BRONX,1015192,243694,MOBILE,Unspecified,BRONX,40.835504863783285,-73.88818185441696,"{'latitude': '40.835504863783285', 'longitude': '-73.88818185441696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,EAST  173 STREET,,,,,
58974603,2023-09-30T11:17:13.000,2023-09-30T11:24:21.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11377,37-22 61 STREET,61 STREET,ADDRESS,WOODSIDE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T11:24:24.000,02 QUEENS,4012150067,QUEENS,1011427,212143,PHONE,Unspecified,QUEENS,40.74891832898588,-73.90191546212965,"{'latitude': '40.74891832898588', 'longitude': '-73.90191546212965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,61 STREET,,,,,
58976796,2023-09-30T11:17:00.000,2023-10-01T01:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11435,148-05 JAMAICA AVENUE,JAMAICA AVENUE,ADDRESS,JAMAICA,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T01:15:00.000,12 QUEENS,4096780106,QUEENS,1037874,195016,PHONE,Unspecified,QUEENS,40.70178815941494,-73.80660227291759,"{'latitude': '40.70178815941494', 'longitude': '-73.80660227291759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,148 ST,148 ST,,,,,,,,
58973215,2023-09-30T11:17:00.000,2023-09-30T11:31:00.000,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Other (CMO),,11364,67-44 215 STREET,215 STREET,ADDRESS,OAKLAND GARDENS,Closed,The Department of Environmental Protection scheduled an inspection.,2023-09-30T11:31:00.000,11 QUEENS,4076260027,QUEENS,1050598,210185,ONLINE,Unspecified,QUEENS,40.74333698585657,-73.76056317894093,"{'latitude': '40.74333698585657', 'longitude': '-73.76056317894093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,67 AVE,69 AVE,,,,,,,,
58972024,2023-09-30T11:17:00.000,2023-10-01T04:55:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11429,219-42 MURDOCK AVENUE,MURDOCK AVENUE,ADDRESS,QUEENS VILLAGE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T04:55:00.000,13 QUEENS,4112350052,QUEENS,1057207,195614,ONLINE,Unspecified,QUEENS,40.70329124663357,-73.73687069476247,"{'latitude': '40.70329124663357', 'longitude': '-73.73687069476247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,219 ST,221 ST,,,,,,,,
58968263,2023-09-30T11:17:00.000,2023-10-01T12:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11434,146-42 177 STREET,177 STREET,ADDRESS,JAMAICA,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T12:45:00.000,13 QUEENS,4133060151,QUEENS,1048293,180510,ONLINE,Unspecified,QUEENS,40.66190335535401,-73.76916363548283,"{'latitude': '40.66190335535401', 'longitude': '-73.76916363548283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BEND,146 DR,,,,,,,,
58969038,2023-09-30T11:16:45.000,2023-10-02T12:55:21.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10012,264 ELIZABETH STREET,ELIZABETH STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,02 MANHATTAN,1005070019,MANHATTAN,986000,202992,PHONE,Unspecified,MANHATTAN,40.72384268405092,-73.99368645102732,"{'latitude': '40.72384268405092', 'longitude': '-73.99368645102732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58975124,2023-09-30T11:16:45.000,2023-10-02T12:55:21.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,10012,264 ELIZABETH STREET,ELIZABETH STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,02 MANHATTAN,1005070019,MANHATTAN,986000,202992,PHONE,Unspecified,MANHATTAN,40.72384268405092,-73.99368645102732,"{'latitude': '40.72384268405092', 'longitude': '-73.99368645102732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972748,2023-09-30T11:16:45.000,2023-10-02T12:55:21.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10012,264 ELIZABETH STREET,ELIZABETH STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-02T00:00:00.000,02 MANHATTAN,1005070019,MANHATTAN,986000,202992,PHONE,Unspecified,MANHATTAN,40.72384268405092,-73.99368645102732,"{'latitude': '40.72384268405092', 'longitude': '-73.99368645102732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970276,2023-09-30T11:16:45.000,2023-10-02T12:55:22.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10012,264 ELIZABETH STREET,ELIZABETH STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-02T00:00:00.000,02 MANHATTAN,1005070019,MANHATTAN,986000,202992,PHONE,Unspecified,MANHATTAN,40.72384268405092,-73.99368645102732,"{'latitude': '40.72384268405092', 'longitude': '-73.99368645102732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
